filename,compute_source,source_zip,seq_len,seed,tf_steps,batch_size,step,eval_exact,eval_ce,eval_ret_top1,writer_recall,loss
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,300,0.9,6.0943,1.0,0.875,0.0011
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,350,0.9,7.9233,1.0,0.9375,0.0006
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,400,1.0,0.0,1.0,0.9688,0.0003
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,450,0.975,1.4088,1.0,0.9688,0.0002
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,500,0.975,2.437,1.0,0.9688,0.0003
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,550,1.0,0.0,1.0,0.9688,0.0002
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,600,1.0,0.0,1.0,1.0,0.0002
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,50,0.575,15.0031,1.0,0.5938,0.0133
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,100,0.675,27.3289,1.0,0.6875,0.0051
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,150,0.875,10.8265,1.0,0.8125,0.0029
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,200,0.875,11.5412,1.0,0.7812,0.0023
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,250,0.75,21.9201,1.0,0.8438,0.0018
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,300,0.925,8.6368,1.0,0.8125,0.0017
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,350,0.975,1.9301,1.0,0.9688,0.0007
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,400,0.9,8.1297,1.0,0.9062,0.0007
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,450,0.975,2.9785,1.0,0.9375,0.0004
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,500,1.0,0.0,1.0,1.0,0.0002
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,550,0.975,1.8953,1.0,1.0,0.0001
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,long,4096,8,600,4,600,0.975,1.575,1.0,1.0,0.0001
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,50,0.75,8.7915,1.0,0.5625,0.0099
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,100,0.8,7.9201,1.0,0.6875,0.0035
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,150,0.7,26.7891,1.0,0.8125,0.0019
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,200,0.9,5.6917,1.0,0.6875,0.0016
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,250,0.85,6.902,1.0,0.75,0.0016
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,300,0.8,1.9823,1.0,0.8125,0.0031
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,350,0.55,7.8969,1.0,0.6875,0.002
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,400,0.6,5.7428,1.0,0.625,7.61
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,450,0.5,8.7016,1.0,0.8125,0.0021
